id,type,domain,enabled,date_added,date_modified,comment
51,0,cbsinteractive.hb.omtrdc.net,1,1598229536,1601069030,"Imported from pi-hole-teleporter_2020-08-23_08-37-44.tar.gz/whitelist.txt"
52,0,pubads.g.doubleclick.net,1,1598229536,1601069030,"Imported from pi-hole-teleporter_2020-08-23_08-37-44.tar.gz/whitelist.txt"
53,0,imasdk.googleapis.com,1,1598229536,1601069030,"Imported from pi-hole-teleporter_2020-08-23_08-37-44.tar.gz/whitelist.txt"
54,0,cws.conviva.com,1,1598229536,1601069030,"Imported from pi-hole-teleporter_2020-08-23_08-37-44.tar.gz/whitelist.txt"
55,2,(\.|^)proxmox\.com$,1,1598356745,1601069030,
58,0,www.newsela.com,1,1602716184,1602716184,
59,2,(\.|^)https://www\.pch\.com/$,1,1603593494,1603593494,
60,2,(\.|^)https://spectrum\.pch\.com$,1,1603593901,1603593901,
61,0,use-application-dns.net,1,1603668011,1603668011,"Added from Query Log"
62,0,js-agent.newrelic.com,1,1603668067,1603668067,"Added from Query Log"
63,0,s.go-mpulse.net,1,1603668090,1603668090,"Added from Query Log"
64,0,ajax.googleapis.com,1,1603668281,1603668281,
65,0,s.iaudienc.com,1,1603668400,1603668400,"Added from Query Log"
66,0,privacy-policy.truste.com,1,1603668448,1603668448,"Added from Query Log"
68,0,video.pch.com,1,1603668615,1603668615,
69,2,(\.|^)video\.pch\.com$,1,1603668761,1603668761,
70,0,incoming.telemetry.mozilla.org,0,1603668906,1603669017,"Added from Query Log"
71,0,v10.events.data.microsoft.com,0,1603668943,1603669013,"Added from Query Log"
72,0,tags.tiqcdn.com,1,1603668961,1603668961,"Added from Query Log"
73,0,img.ifunny.co,1,1604542860,1604542860,"Added from Query Log"
74,0,imageproxy.ifunny.co,1,1604542871,1604542871,"Added from Query Log"
75,0,device-metrics-us.amazon.com,1,1606666186,1606666186,"Added from Query Log"
77,0,unagi-na.amazon.com,1,1606666226,1606666226,"Added from Query Log"
78,2,(\.|^)boostmobile\.com$,1,1610144115,1610144115,
